               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.023841,            0.018266,                   0,             0.69381,             0.39965,             0.41479,             0.33282,            0.023455,            0.024909,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022658,            0.016748,                   0,             0.68076,             0.40923,             0.41846,             0.33407,            0.022198,            0.024005,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022855,            0.017434,                   0,             0.74894,             0.39437,             0.41552,             0.33501,            0.022838,            0.024675,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022383,            0.015901,                   0,             0.72459,             0.38732,             0.42213,             0.34065,            0.023657,            0.023683,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023042,            0.017143,                   0,             0.75022,             0.38601,             0.42817,             0.34123,            0.022915,            0.025399,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022262,            0.016889,                   0,             0.63787,             0.43726,             0.43108,             0.34763,            0.022376,            0.025557,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022032,            0.017135,                   0,             0.70835,             0.39965,             0.42208,             0.33841,             0.02264,            0.025205,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.021856,             0.01695,                   0,             0.67626,             0.41197,             0.42385,             0.34091,            0.022936,             0.02543,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.02162,            0.014814,                   0,             0.65683,             0.41725,             0.41124,             0.33113,            0.021933,            0.025823,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.020907,            0.015825,                   0,             0.71876,             0.40317,              0.4226,             0.33926,            0.021921,            0.025576,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.021128,            0.015234,                   0,             0.67612,             0.42077,             0.42765,              0.3432,            0.021908,            0.025296,                   0,            0.000496,            0.000496,            0.000496
